designerCode,beforeWord,suggestedAfterWord,customId,confidence
"551270","Antonio Bernardo","","bcm499","needs_manual_review"
"3902","Antonio Marras","","bcm499","needs_manual_review"
"219429","Antonio Marras Vintage","","bcm499","needs_manual_review"
"43854","Anya Hindmarch","안야 힌드마치","bcm499","reviewed_or_rule_based"
"5934292","APL: ATHLETIC PROPULSION LABS","","bcm499","needs_manual_review"
"2144126","APM Monaco","","bcm499","needs_manual_review"
"139064191","APOA","","bcm499","needs_manual_review"
"3594788","Apuntob","","bcm499","needs_manual_review"
"580741","Aquazzura","아쿠아주라","bcm499","reviewed_or_rule_based"
"89283912","AQUAZZURA CASA","아쿠아주라 카사","bcm499","reviewed_or_rule_based"
"309351","Aquilano.Rimondi Vintage","","bcm499","needs_manual_review"
"137835853","ARAFTU","","bcm499","needs_manual_review"
"136256841","Araminta James Australia","","bcm499","needs_manual_review"
"6893128","Arc'teryx","아크테릭스","bcm499","reviewed_or_rule_based"
"30696265","arch4","","bcm499","needs_manual_review"
"11507245","Archivio B","","bcm499","needs_manual_review"
"130263626","ARCINA ORI","","bcm499","needs_manual_review"
"51373981","ARCS","","bcm499","needs_manual_review"
"4409406","AREA","","bcm499","needs_manual_review"
"1850585","Aries","","bcm499","needs_manual_review"
"4038024","Arma","","bcm499","needs_manual_review"
"3303804","Armani Exchange","","bcm499","needs_manual_review"
"17992633","Armani/Casa","","bcm499","needs_manual_review"
"80189893","ARMARIUM","","bcm499","needs_manual_review"
"115327654","AROVESCIO","","bcm499","needs_manual_review"
"48515448","Arte Antwerp","","bcm499","needs_manual_review"
"50052163","Arteana","","bcm499","needs_manual_review"
"82810580","Arti & Mestieri","","bcm499","needs_manual_review"
"137351218","ARTICLE TEN","","bcm499","needs_manual_review"
"1186","Ash","","bcm499","needs_manual_review"
"36241","ASICS","","bcm499","needs_manual_review"
"6790","ASPESI","","bcm499","needs_manual_review"
"802605","Aspesi Vintage","","bcm499","needs_manual_review"
"4186338","Aspinal Of London","","bcm499","needs_manual_review"
"222039","Assouline","","bcm499","needs_manual_review"
"122164103","Asta Resort","","bcm499","needs_manual_review"
"14353","Astier De Villatte","","bcm499","needs_manual_review"
"108066830","Astrid & Miyu","","bcm499","needs_manual_review"
"3727739","Atlein","","bcm499","needs_manual_review"
"121046932","ATOMIC","","bcm499","needs_manual_review"
"299867","ATP Atelier","","bcm499","needs_manual_review"
"6485630","Atu Body Couture","","bcm499","needs_manual_review"
"13304233","Au Départ","","bcm499","needs_manual_review"
"146194581","AUDE HEROUARD","","bcm499","needs_manual_review"
"3539533","Audemars Piguet","오데마 피게","bcm499","reviewed_or_rule_based"
"98967757","Audemars Piguet pre owned","오데마 피게 프리오운드","bcm499","reviewed_or_rule_based"
"13219343","Audo","","bcm499","needs_manual_review"
"132193303","August Barron","","bcm499","needs_manual_review"
"1033162","Augusta","","bcm499","needs_manual_review"
"3977865","Auralee","오라리","bcm499","reviewed_or_rule_based"
"569906","Aurelie Bidermann","","bcm499","needs_manual_review"
"127801967","AUTENTICA 504","","bcm499","needs_manual_review"
"15615986","Autry","오트리","bcm499","reviewed_or_rule_based"
"87752","Avant Toi","","bcm499","needs_manual_review"
"15671616","AVAVAV","","bcm499","needs_manual_review"
"12270389","avenue 67","","bcm499","needs_manual_review"
"539000","Avenue Montaigne","","bcm499","needs_manual_review"
"51206931","Avirex","","bcm499","needs_manual_review"
"7035","Aviù","","bcm499","needs_manual_review"
"16782","Avril Gau","","bcm499","needs_manual_review"
"17080997","Awake NY","","bcm499","needs_manual_review"
"110026920","AWAY THAT DAY","","bcm499","needs_manual_review"
"136214341","AXEL 113","","bcm499","needs_manual_review"
"6310904","Axel Arigato","악셀 아리가토","bcm499","reviewed_or_rule_based"
"27706129","Aya Muse","","bcm499","needs_manual_review"
"12805033","AYTM","","bcm499","needs_manual_review"
"17509394","AZ FACTORY","","bcm499","needs_manual_review"
"125742130","azzedine alaïa","","bcm499","needs_manual_review"
"48513820","B SIDES","","bcm499","needs_manual_review"
"803578","B-Low The Belt","","bcm499","needs_manual_review"
"131249490","B.B. Walace","","bcm499","needs_manual_review"
"144654071","b.Eautiful","","bcm499","needs_manual_review"
"151547637","b.young","","bcm499","needs_manual_review"
"27524","B&W","","bcm499","needs_manual_review"
"10527318","Ba&Sh","","bcm499","needs_manual_review"
"958744","Babylone Paris","","bcm499","needs_manual_review"
"126651330","BACI MILANO","","bcm499","needs_manual_review"
"269632","Baldinini","","bcm499","needs_manual_review"
"2450","Balenciaga","발렌시아가","bcm499","reviewed_or_rule_based"
"3613401","Balenciaga Eyewear","발렌시아가 아이웨어","bcm499","reviewed_or_rule_based"
"92762","Balenciaga Pre-Owned","발렌시아가 프리오운드","bcm499","reviewed_or_rule_based"
"100108","Ballantyne","","bcm499","needs_manual_review"
"148447","Ballantyne Vintage","","bcm499","needs_manual_review"
"15652","Bally","","bcm499","needs_manual_review"
"18370","Balmain","","bcm499","needs_manual_review"
"14828843","Balmain Eyewear","","bcm499","needs_manual_review"
"131835","Balmain Pre-Owned","","bcm499","needs_manual_review"
"137328479","BANANA MOON","","bcm499","needs_manual_review"
"4289947","Bang & Olufsen","","bcm499","needs_manual_review"
"402663","Bao Bao Issey Miyake","","bcm499","needs_manual_review"
"109934222","Baobab","","bcm499","needs_manual_review"
"2425248","Baobab Collection","","bcm499","needs_manual_review"
"15629129","BAPE BLACK *A BATHING APE®","","bcm499","needs_manual_review"
"145020","Barba","","bcm499","needs_manual_review"
"506932","Barbara Bologna","","bcm499","needs_manual_review"
"15350","Barbara Bui","","bcm499","needs_manual_review"
"6959","Barbour","","bcm499","needs_manual_review"
"39396923","Barbour International","","bcm499","needs_manual_review"
"149013129","Barebarics","","bcm499","needs_manual_review"
"67332","Barena","","bcm499","needs_manual_review"
"1447619","Barrie","","bcm499","needs_manual_review"
"15415115","BARROW","","bcm499","needs_manual_review"
"874854","Barton Perreira","","bcm499","needs_manual_review"
"10380344","Baruni","","bcm499","needs_manual_review"
"24103273","base","","bcm499","needs_manual_review"
"706605","Baserange","","bcm499","needs_manual_review"
"124438249","Basile","","bcm499","needs_manual_review"
"133326","Basile Vintage","","bcm499","needs_manual_review"
"227629","Baum Und Pferdgarten","","bcm499","needs_manual_review"
"3539444","Baume & Mercier","","bcm499","needs_manual_review"
"1612629","Bazar Deluxe","","bcm499","needs_manual_review"
"149011970","Be Lenka","","bcm499","needs_manual_review"
"2931242","Bea Bongiasca","","bcm499","needs_manual_review"
"127004493","bea mombaers","","bcm499","needs_manual_review"
"136256119","Beach Bunny","","bcm499","needs_manual_review"
"1322140","Beach Riot","","bcm499","needs_manual_review"
"31409847","BEATRIZ PALACIOS","","bcm499","needs_manual_review"
"132561650","beaubleu","","bcm499","needs_manual_review"
